Car Name-Price-Location-Matriculation Year
Alfa Romeo GTV -$5,750 -California -1974
American Motors Ambassador SST Sedan -$3,722 --1970
AMC Pacer -$3,100 -California -1979
BMW 3.0CSL -$12,250 --1974
Buick Le Sabre -$3,337 --1970
Buick Station Wagon -$4,371 --1974
Buick Electra 225 -$7,033 --1977
Buick Skyhawk -$4,778 --1979
Cadillac De Ville -$6,168 --1972
Cadillac Elderado -$9,935 --1975
Cadillac De Ville -$11,728 --1979
Chevrolet Camero Z28 -$6,326 --1978
Chevrolet Caprice -$4,819 --1975
Chevrolet Chevette -$3,644 --1978
Chevrolet Corvette -$5,472 --1972
Chevrolet Corvette -$12,313 --1979
Chevrolet Impala -$5,471 -New York -1979
Chevrolet Malibu -$3,671 --1976
Chevrolet Monte Carlo -$3,885 --1974
Chevrolet Monza Town Coupe -$3,385 --1976
Chevrolet Nova -$3,823 --1978
Chevrolet Pickup -$2,229 -  Ohio   -1971
Chrysler Barracuda -$2,764 --1970
Chrysler Cordoba -$5,392 --1976
Chrysler Duster 340 -$2,822 --1973
Chrysler Newport -$3,861 --1970
Chrysler New Yorker -$8,261 --1978
Chrysler Lebaron -$4,888 -New York -1979
Chrysler Volare, -$3,220.00 -New Jersey -1976
Comet Montego Cyclone GT ( Lincoln Mercury ) -$3,690 --1970
Comet Montego ( Lincoln Mercury ) -$4.439 --1976
Datsun 210 -$3,869 -New York -1979
Dodge Aspen -$4,515 --1977
Dodge Charger -$3,579 --1971
Dodge Charger Daytona -$5,434 --1976
Dodge Colt -$4,785- New York -1979
Dodge Coronet 2 door -$3,591 -New York -1976
Dodge Dart Swinger -$2,237 -California -1970
Dodge Dart Sport 340 -$2,853 --1973
Dodge Magnum XE -$5,509 --1978
Dodge Monaco -$3,743 --1970
Ford Galaxie 500 -$3,883 --1973
Ford Granada -$3,698 --1975
Ford LTD -$5,866 --1977
Ford Maverick -$1,995 -California -1970
Ford Mustang II -$4,105 --1975
Ford Pinto -$2,078 --1972
Ford Pinto Wagon -$4,075 --1977
Ford, Pinto, -$2,895.00 -New Jersey -1976
Ford Ranchero -$2,995 -California -1970
Ford Thunderbird -$6,437 --1973
Ford Torino -$3,506 --1970
GMC Jimmy -$7,895 -New York -1979
Jaguar Series III E Type V12 Convertible -$8,470 --1973
Jaguar XJS -$18,000 --1976
Lincoln Continental -$7,474 --1973
Lotus Elite -$15,406 --1976
Mercury Cougar XR7 -$3,679 --1973
Mercury Cougar XR7 -$6,430 --1979
Mercury Marauder -$3,503 --1970
Mercury Marquis -$5,049 --1975
Mercury Monarch Ghia -$5,149 --1975
MG MGB Roadster -$3,320 --1973
MG MGB MK IV Roadster -$5,649 --1978
Oldsmobile Cutlass -$5,920 -New York -1979
Oldsmobile Delta 88 -$3,826 --1971
Oldsmobile Delta 88 -$6,546 --1979
Oldsmobile Delta 88 Royale -$5,626 --1975
Oldsmobile Omega -$4,164 --1978
Oldsmobile Starfire GT -$3,953 --1978
Oldsmobile Tornado -$5,441 --1973
Oldsmobile Tornado -$10,041 --1979
Plymouth Fury Sedan -$3,303 --1970
Plymouth Horizon Fastback -$4,801 -New York -1979
Plymouth Satellite -$3,226 --1973
Pontiac Catalina -$4,210 -Washington -1970
Pontiac Grand Prix -$5,772 --1978
Pontiac Lemans -$5,888 -New York -1979
Pontiac Sunbird -$4,274 --1979
Pontiac Trans Am -$4,708 -New York -1974
Pontiac Ventura Coupe -$3,829 --1975
Subaru Brat -$5,622 -New York -1979
Toyota Corola -$3,698 -New York -1979
Triumph Stag -$5,805 --1971
Triumph TR7 -$5,105 --1975 
